site,k1,k2,k3,k4,k5,k6,rich,simp
beach,0,0,0,0,0.340050463,3.16024829,2,0.175422116
cb,0,0.248383643,0,0,0,2.517547305,2,0.163473726
clark,0,0,0,0,0,6.178957437,1,0
disc,0,0,0,0,0,6.074134815,1,0
expo,0,4.036102941,0.537476922,0,0.670823537,11.69566325,4,0.463986578
fern,0,0,1.249618866,0,0,9.188553963,2,0.210768533
field,0.100786944,1.656667495,2.505708317,2.429366178,0.794779886,11.20744181,6,0.596062745
fraz,0.090933064,4.307745326,1.280321207,0,1.276230526,9.660806603,5,0.582878796
gate,0,0.141876774,0,0,0,1.415039607,2,0.165645377
hb,0,4.040581911,0,0,0,0,1,0
liz,0,1.071105327,0.352054414,0,0,0,2,0.372361413
main,0,1.96618212,0,0,0,7.764922517,2,0.322453117
mars,0,0,0.514772689,0,0,3.485786705,2,0.224235752
nance,0,0,0.357784953,0,0,10.0536832,2,0.066367172
noon,0,5.353349224,0.789678455,0.958111371,0,16.49821748,4,0.457038947
pass,0,0,0,0,0,0.518520247,1,0
pegg,0,0.18588017,0,0.524229906,0,1.561304626,3,0.46755812
pickle,0,1.40376941,0,0,0,5.371339915,2,0.328530573
pond,0,8.41478395,0,0,0.407069992,3.757684787,3,0.462260417
rags,0.090321427,0,0.52742294,0,0,5.404422783,3,0.186739255
rot,0,0,0,0,0,3.524922672,1,0
terr,0,0,0.347210166,0.445974633,0,1.005725933,3,0.588720613
zion,0,0,0,0,0,2.308674974,1,0
