site,mipi,mumu,pego,pele,rano,rehu,sihi,tast,blca,glvo,ocnu,scca
beach,0,0,0,3.16024829,0,0,0,0,0.340050463,0,0,0
cb,0,0,2.014037844,0,0,0,0.248383643,0,0,0,0,0
clark,0,0,0,6.178957437,0,0,0,0,0,0,0,0
disc,0,0,0,6.074134815,0,0,0,0,0,0,0,0
expo,4.036102941,0,0,11.43575962,0,0,0,0.537476922,0.670823537,0,0,0
fern,0,0,0,8.946749912,0,0,0,1.249618866,0,0,0,0
field,0,2.143340488,0,8.459827903,2.024471815,0,1.656667495,2.505708317,0.794779886,0,0,0.100786944
fraz,4.307745326,0,0,9.413093613,0,0,0,1.280321207,1.276230526,0,0,0.090933064
gate,0,0,0,1.415039607,0,0,0,0,0,0,0.141876774,0
hb,0,0,0,0,0,2.997657216,1.042924695,0,0,0,0,0
liz,0,0,0,0,0,0,0.803328995,0.352054414,0,0,0,0
main,1.083793494,0,0,7.487603856,0,0,0.882388626,0,0,0,0,0
mars,0,0,0,3.485786705,0,0,0,0.514772689,0,0,0,0
nance,0,0,0,10.0536832,0,0,0,0.357784953,0,0,0,0
noon,0,0,0,15.78090367,0.958111371,0,5.071594002,0.743303762,0,0.046374693,0,0
pass,0,0,0,0.518520247,0,0,0,0,0,0,0,0
pegg,0,0,0,1.17097847,0.524229906,0,0,0,0,0,0.18588017,0
pickle,0,0,2.766034935,2.60530498,0,0.254579244,1.149190166,0,0,0,0,0
pond,1.239088279,0,2.50661747,1.251067317,0,0,6.680820108,0,0.407069992,0,0,0
rags,0,0,0,4.913111621,0,0,0,0.507853962,0,0.019568978,0,0.090321427
rot,0,0,0,2.93743556,0,0,0,0,0,0,0,0
terr,0,0,0,0.670483955,0.445974633,0,0,0.347210166,0,0,0,0
zion,0,0,0,2.308674974,0,0,0,0,0,0,0,0
